AuthorId,DisplayName,OpenAlexId
369,April Frazier,A5044515449
370,Aaron F. Carlin,A5040148111
371,Jason Greenbaum,A5063725110
372,Bjoern Peters,A5023547268
373,Florian Krammer,A5071125492
374,Davey M. Smith,A5044677503
375,Shane Crotty,A5030160770
376,Alessandro Sette,A5010966529
377,Ludmil B. Alexandrov,A5080997789
378,Jaegil Kim,A5103208897
379,Nicholas J. Haradhvala,A5064519985
380,Mi Ni Huang,A5101627563
381,Alvin Wei Tian Ng,A5059272387
382,Yang Wu,A5066935160
383,Arnoud Boot,A5047273273
384,Kyle R. Covington,A5055790071
385,Dmitry A. Gordenin,A5070358742
386,Erik N. Bergstrom,A5035014875
387,S. M. Ashiqul Islam,A5045381779
388,Núria López-Bigas,A5057300983
389,Leszek J. Klimczak,A5058377816
390,John R. McPherson,A5110746303
391,Sandro Morganella,A5087559200
392,Radhakrishnan Sabarinathan,A5024231765
393,David A. Wheeler,A5003575856
394,Ville Mustonen,A5061483267
395,Paul C. Boutros,A5007657275
396,Kin Chan,A5073597133
397,Akihiro Fujimoto,A5108123844
398,Gad Getz,A5001392592
399,Marat D. Kazanov,A5070956718
400,Michael S. Lawrence,A5070808897
401,Iñigo Martincorena,A5020879914
402,Hidewaki Nakagawa,A5081957766
403,Paz Polak,A5025870661
404,Stephenie D. Prokopec,A5077305666
405,Steven A. Roberts,A5045510214
406,Steve Rozen,A5078961996
407,Natalie Saini,A5063124326
408,Tatsuhiro Shibata,A5110664951
409,Yuichi Shiraishi,A5030942209
410,Michael R. Stratton,A5058103562
411,Bin Tean Teh,A5039053890
412,Ignacio Vázquez-Garćıa,A5046081802
413,Fouad Yousif,A5108490710
414,Willie Yu,A5086881402
415,Lauri A. Aaltonen,A5028725974
416,Federico Abascal,A5110664952
417,Adam Abeshouse,A5051804789
418,Hiroyuki Aburatani,A5111948748
419,David J. Adams,A5102865320
420,Nishant Agrawal,A5053487762
421,Keun Soo Ahn,A5077671009
422,Sung‐Min Ahn,A5050433869
423,Hiroshi Aikata,A5102349897
424,Rehan Akbani,A5111495221
425,Kadir C. Akdemir,A5033776881
426,Hikmat Al‐Ahmadie,A5022477189
427,Sultan T. Al‐Sedairy,A5044251095
428,Fátima Al‐Shahrour,A5027004121
429,Malik Alawi,A5089296981
430,Monique Albert,A5077019444
431,Kenneth Aldape,A5063290790
432,Adrian Ally,A5060694592
433,Kathryn Alsop,A5030304907
434,Eva G. Álvarez,A5026404705
435,Fernanda Amary,A5036182035
436,Samirkumar B. Amin,A5057939952
437,Brice Aminou,A5041467146
438,Ole Ammerpohl,A5021366050
439,Matthew J. Anderson,A5024556195
440,Yeng Ang,A5026378420
441,Davide Antonello,A5056660858
442,Pavana Anur,A5045027466
443,Samuel Aparício,A5074271128
444,Elizabeth L. Appelbaum,A5039112516
445,Yasuhito Arai,A5019988905
446,Axel Aretz,A5015815640
447,Koji Arihiro,A5000960910
448,Shun‐ichi Ariizumi,A5002609630
449,Joshua Armenia,A5021762206
450,Laurent Arnould,A5071480204
451,L. Sylvia,A5090794174
452,Yassen Assenov,A5112503937
453,Gurnit Atwal,A5079014077
454,Sietse Aukema,A5052025523
455,Joseph D. Khoury,A5088881526
456,Éric Solary,A5023810956
457,Oussama Abla,A5031416380
458,Yassmine Akkari,A5064496301
459,Rita Alaggio,A5015423699
460,Jane F. Apperley,A5074115908
461,Rafael Bejar,A5062180760
462,Emilio Berti,A5087333640
463,Lambert Busque,A5043492753
464,John K. C. Chan,A5108102147
465,Weina Chen,A5012895760
466,Xueyan Chen,A5100630223
467,Wee Joo Chng,A5066282840
468,John Choi,A5085136977
469,Isabel Colmenero,A5050541673
470,Sarah E. Coupland,A5031298664
471,Nicholas C.P. Cross,A5036839901
472,Daphne de Jong,A5009172923
473,M. Tarek Elghetany,A5054223683
474,Emiko Takahashi,A5065412326
475,Jean‐François Emile,A5070179654
476,Judith A. Ferry,A5014039090
477,Linda Fogelstrand,A5026844718
478,Michaëla Fontenay,A5075558296
479,Ulrich Germing,A5113559069
480,Sumeet Gujral,A5029787002
481,Torsten Haferlach,A5043414993
482,Claire Harrison,A5046827092
483,Jennelle C. Hodge,A5068661649
484,Shimin Hu,A5018907621
485,Joop H. Jansen,A5020940867
486,Rashmi Kanagal‐Shamanna,A5059373442
487,Hagop M. Kantarjian,A5090435894
488,Christian P. Kratz,A5075952597
489,Xiaoqiu Li,A5029686222
490,Megan S. Lim,A5041898934
491,Keith R. Loeb,A5065358447
492,Sanam Loghavi,A5056317446
493,Andrea N. Marcogliese,A5042219626
494,Soheil Meshinchi,A5049490094
495,Phillip Michaels,A5005365729
496,Kikkeri N. Naresh,A5033114100
497,Yasodha Natkunam,A5001976357
498,Reza Nejati,A5054895103
499,German Ott,A5075157221
500,Eric Padron,A5041754278
501,Keyur P. Patel,A5010663972
502,Nikhil Patkar,A5052311310
503,Jennifer Picarsic,A5066407702
504,Uwe Platzbecker,A5079124367
505,Irene Roberts,A5051182162
506,Anna Schuh,A5074839524
507,William A. Sewell,A5055407294
508,Reiner Siebert,A5090007935
509,Prashant Tembhare,A5017956721
510,Jeffrey Tyner,A5058340446
511,Srđan Verstovšek,A5085521139
512,Wei Wang,A5100391698
513,Brent L. Wood,A5013754928
514,Wenbin Xiao,A5055506298
515,Cecilia C.S. Yeung,A5064100640
516,Andreas Hochhaus,A5035964802
517,Federico Abascal,A5101190280
518,Nishant Agrawal,A5102507038
519,Sung-Min Ahn,A5111672851
520,J. Todd Auman,A5069064105
521,Miriam R. R. Aure,A5055177814
522,Philip Awadalla,A5102263922
523,Marta Aymerich,A5050933998
524,Gary D. Bader,A5010789029
525,Adrian Baez‐Ortega,A5069541241
526,Matthew H. Bailey,A5051591843
527,Peter J. Bailey,A5102937267
528,Miruna Balasundaram,A5026467217
529,Saianand Balu,A5066591796
530,Pratiti Bandopadhayay,A5085626192
531,Rosamonde E. Banks,A5037811990
532,Stefano Barbi,A5041316025
533,Andrew P. Barbour,A5072607971
534,Jonathan Barenboim,A5078053905
535,Jill S. Barnholtz‐Sloan,A5051948022
536,Hugh Barr,A5000353679
537,Elisabet Barrera,A5052962307
538,John G. Bartlett,A5109411599
539,Javier Bartolomé,A5062333754
540,Claudio Bassi,A5074748035
541,Oliver F. Bathe,A5067532125
542,Daniel Baumhoer,A5015379488
543,Prashant Bavi,A5015528853
544,Stephen B. Baylin,A5058612163
545,Wojciech Bażant,A5044588779
546,Duncan Beardsmore,A5082448741
547,Timothy A. Beck,A5010213541
548,Sam Behjati,A5067510543
549,Andreas Behren,A5056943657
550,Beifang Niu,A5008702128
551,Cindy Bell,A5087745410
552,Sergi Beltrán,A5065945638
553,Christopher C. Benz,A5013069844
554,Andrew Berchuck,A5113838755
555,Anke K. Bergmann,A5102974585
556,Benjamin P. Berman,A5032108534
557,Daniel M. Berney,A5074984909
558,Stephan Wolf,A5034829404
559,Rameen Beroukhim,A5112504487
560,Mario Berríos,A5008124866
561,Samantha Bersani,A5071620295
562,Johanna Bertl,A5047599127
563,Miguel Betancourt,A5031226242
564,Vinayak Bhandari,A5032007431
565,Shriram G. Bhosle,A5058862412
566,Andrew V. Biankin,A5089677089
567,Matthias Bieg,A5076805784
568,Darell D. Bigner,A5004814459
569,Hans Binder,A5045754538
570,Ewan Birney,A5061379058
571,Michael J. Birrer,A5103220093
572,Nidhan K. Biswas,A5048721124
573,Bodil Bjerkehagen,A5036087034
574,Tom Bodenheimer,A5053885529
575,Lori Boice,A5036977977
576,Giada Bonizzato,A5083547357
577,Johann S. de Bono,A5072378199
578,Sergey Nurk,A5057619814
579,Sergey Koren,A5042603880
580,Arang Rhie,A5077909607
581,Mikko Rautiainen,A5024410406
582,Andrey V. Bzikadze,A5078002589
583,Alla Mikheenko,A5066700628
584,Mitchell R. Vollger,A5012396646
585,Nicolas Altemose,A5058769938
586,Lev Uralsky,A5085217482
587,Ariel Gershman,A5014076797
588,Sergey Aganezov,A5073871292
589,Savannah J. Hoyt,A5027252269
590,Mark Diekhans,A5054009720
591,Glennis A. Logsdon,A5009521650
592,Michael Alonge,A5073102682
593,Stylianos E. Antonarakis,A5085581810
594,Matthew Borchers,A5082437922
595,Gerard G. Bouffard,A5034914393
596,Shelise Brooks,A5026625803
597,Gina V. Caldas,A5073101534
598,Nae-Chyun Chen,A5053574168
599,Haoyu Cheng,A5044987443
600,Chen-Shan Chin,A5000764422
601,William Chow,A5057492348
602,Leonardo Gomes de Lima,A5066935050
603,Philip C. Dishuck,A5067160339
604,Richard Durbin,A5082040351
605,Tatiana Dvorkina,A5022112085
606,Ian T. Fiddes,A5083807320
607,Giulio Formenti,A5018079714
608,Robert S. Fulton,A5061026009
609,Arkarachai Fungtammasan,A5052377950
610,Erik Garrison,A5008992371
611,Patrick G. S. Grady,A5088905168
612,Tina A. Graves-Lindsay,A5089175808
613,Ira M. Hall,A5026920706
614,Nancy F. Hansen,A5057230759
615,Gabrielle A. Hartley,A5048323991
616,Marina Haukness,A5018252159
617,Kerstin Howe,A5049934769
618,Michael W. Hunkapiller,A5075684725
619,Chirag Jain,A5037477391
620,Miten Jain,A5018121239
621,Erich D. Jarvis,A5028548956
622,Peter Kerpedjiev,A5046982519
623,Melanie Kirsche,A5033718626
624,Mikhail Kolmogorov,A5025147358
625,Jonas Korlach,A5035425274
626,Milinn Kremitzki,A5057545798
627,Heng Li,A5100338825
628,Valerie V. Maduro,A5023644228
629,Tobias Marschall,A5067570776
630,Ann M. Mc Cartney,A5011875082
631,Jennifer McDaniel,A5045111364
632,Danny E. Miller,A5063334784
633,James C. Mullikin,A5072393754
634,Eugene W. Myers,A5068657716
635,Nathan D. Olson,A5066572638
636,Benedict Paten,A5061203088
637,Paul Peluso,A5009938495
638,Pavel A. Pevzner,A5027480961
639,David Porubskỳ,A5087265421
640,Tamara Potapova,A5033459990
641,Е. И. Рогаев,A5051730671
642,Jeffrey Rosenfeld,A5034922709
643,Steven L. Salzberg,A5010384159
644,Valérie Schneider,A5048156988
645,Fritz J. Sedlazeck,A5037440162
646,Kishwar Shafin,A5079125341
647,Colin J. Shew,A5035520132
648,Alaina Shumate,A5063791362
649,Ying Sims,A5091615215
650,Arian F. A. Smit,A5066827440
651,Daniela C. Soto,A5071604516
652,Ivan Sović,A5001652460
653,Jessica M. Storer,A5073890436
654,Aaron Streets,A5064329611
655,Beth A. Sullivan,A5059283391
656,Françoise Thibaud‐Nissen,A5039928314
657,James Torrance,A5066372539
658,Justin Wagner,A5082000812
659,Brian P. Walenz,A5012925880
660,Aaron M. Wenger,A5083782077
661,Jonathan Wood,A5007342777
662,Chunlin Xiao,A5075843393
663,Stephanie M. Yan,A5032911304
664,Alice Young,A5066041347
665,Samantha Zarate,A5067239243
666,Urvashi Surti,A5054573446
667,Rajiv C. McCoy,A5077891969
668,Megan Y. Dennis,A5074379383
669,Ivan A. Alexandrov,A5014206172
670,Jennifer L. Gerton,A5016119539
671,Rachel J. O’Neill,A5015873205
672,Winston Timp,A5081156860
673,Justin M. Zook,A5058903767
674,Michael C. Schatz,A5058192453
675,Evan E. Eichler,A5014870107
676,Karen H. Miga,A5061916596
677,Adam M. Phillippy,A5086869042
678,Yu Kato,A5043269044
679,Kathryn M. Hastie,A5079049312
680,Esther Dawen Yu,A5058527340
681,Caterina E. Faliti,A5073712922
682,Sonya Haupt,A5076126056
683,Catherine Nakao,A5003197371
684,Vamseedhar Rayaprolu,A5053400296
685,Viviana Simon,A5101904769
686,Erica Ollmann Saphire,A5067885626
687,Mary E. Rinella,A5016102803
688,Jeffrey V. Lazarus,A5091620489
689,Vlad Ratziu,A5072395263
690,Sven Francque,A5070970519
691,Arun J. Sanyal,A5070639714
692,Fasiha Kanwal,A5086965411
693,Diana Romero,A5087031399
694,Manal F. Abdelmalek,A5011069724
695,Quentin M. Anstee,A5059068278
696,Juan Pablo Arab,A5049575058
697,Marco Arrese,A5052604947
698,Ramón Bataller,A5035086772
699,Ulrich Beuers,A5018461629
700,Jérôme Boursier,A5065731342
701,Elisabetta Bugianesi,A5039389628
702,Christopher D. Byrne,A5090673306
703,Graciela Castro‐Narro,A5026971498
704,Abhijit Chowdhury,A5009286694
705,Helena Cortez‐Pinto,A5027348289
706,Donna R. Cryer,A5039474134
707,Kenneth Cusi,A5086957117
708,Mohamed El‐Kassas,A5061692975
709,Samuel Klein,A5021042114
710,Wayne Eskridge,A5016095162
711,Jian‐Gao Fan,A5101713846
712,Samer Gawrieh,A5019562801
713,Cynthia D. Guy,A5075081857
714,Stephen A. Harrison,A5091625375
715,Seung Up Kim,A5100681585
716,Bart G.P. Koot,A5070828788
717,Marko Korenjak,A5114060996
718,Kris V. Kowdley,A5091028785
719,Florence Lacaille,A5089809017
720,Rohit Loomba,A5052059601
721,Robert Mitchell-Thain,A5031542189
722,Timothy R. Morgan,A5077980742
723,Elisabeth E. Powell,A5110996570
724,Michael Roden,A5022032933
725,Manuel Romero‐Gómez,A5037480677
726,Marcelo Silva,A5111487785
727,Shivaram Prasad Singh,A5020213227
728,Silvia Sookoian,A5035354017
729,C Wendy Spearman,A5024920647
730,Dina Tiniakos,A5111143210
731,Luca Valenti,A5050497878
732,Miriam B. Vos,A5013122094
733,Vincent Wai‐Sun Wong,A5101716089
734,Stavra A. Xanthakos,A5031055272
735,Yusuf Yılmaz,A5076455574
736,Zobair M. Younossi,A5080386622
737,Ansley Hobbs,A5064108513
738,Marcela Villota‐Rivas,A5050731675
739,Philip N. Newsome,A5044832887
740,Federico Abascal,A5108767056
741,Reyes Acosta,A5113987319
742,Nicholas J. Addleman,A5108123167
743,Jessika Adrian,A5110701557
744,Veena Afzal,A5044078136
745,Rizi Ai,A5030463621
746,Bronwen Aken,A5050379408
747,Jennifer A. Akiyama,A5073570829
748,Omar Al Jammal,A5107921100
749,Henry Amrhein,A5108555429
750,Stacie M. Anderson,A5106023521
751,Gregory R. Andrews,A5010127453
752,Igor Antoshechkin,A5014450578
753,Kristin Ardlie,A5057715705
754,Joel Armstrong,A5108719438
755,Matthew Astley,A5066673786
756,Budhaditya Banerjee,A5059306713
757,Amira Barkal,A5061612871
758,If H. A. Barnes,A5111766099
759,Iros Barozzi,A5080587435
760,Daniel Barrell,A5089038113
761,Gemma Barson,A5008001718
762,Daniel J. Bates,A5089126031
763,Ulugbek K. Baymuradov,A5013194640
764,Cassandra Bazile,A5112597589
765,M Beer,A5065787609
766,Samantha Beik,A5062498364
767,M. A. Bender,A5103139303
768,Ruth Bennett,A5086726082
769,Louis Philip Benoit Bouvrette,A5026100917
770,B Bernstein,A5058470461
771,Andrew Berry,A5045305670
772,Anand Bhaskar,A5102729033
773,Alexandra Bignell,A5029594700
774,Steven M. Blue,A5032471267
775,David M. Bodine,A5112149649
776,Carles Boix,A5113987206
777,Nathan Boley,A5110619223
778,Tyler Borrman,A5113033893
779,Beatrice Borsari,A5075490268
780,Alan P. Boyle,A5018760379
